k,k_n,mod,mu,int_conn,valid,year,met,n_valid_solutions,n_solutions
13,0.017218543046357615,0.6393994915478499,0.22249861802100607,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6577922071969247,0.22139303482587064,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6490551912295288,0.2131011608623549,2,FALSE,2024,LV,26,64
13,0.017218543046357615,0.6552633823542443,0.2150359314538419,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6538523256513941,0.21752349364289664,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6526909743708217,0.218767274737424,2,FALSE,2024,LV,26,64
13,0.017218543046357615,0.651085884837834,0.208955223880597,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6415402889275752,0.21849087893864014,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.6540152945120231,0.21766169154228857,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6396409845465871,0.22249861802100607,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6494705870713993,0.21945826423438364,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6412723633842339,0.21862907683803207,1,TRUE,2024,LV,26,64
13,0.017218543046357615,0.65318520947868,0.21614151464897732,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6475529288787315,0.22609176340519624,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.649357589853081,0.21379215035931454,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6567426117218098,0.22747374239911552,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6570105372651516,0.2273355444997236,2,FALSE,2024,LV,26,64
16,0.02119205298013245,0.6523597081235919,0.22153123272526257,1,TRUE,2024,LV,26,64
16,0.02119205298013245,0.6369800065302136,0.2263681592039801,1,TRUE,2024,LV,26,64
16,0.02119205298013245,0.6529199100010051,0.22194582642343835,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.65402456691116,0.21987285793255942,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6548324974996036,0.21793808734107242,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6501253368621543,0.22236042012161414,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.6560934673875874,0.21655610834715314,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6489266954491103,0.21379215035931454,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6520466619974262,0.2306522940851299,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6585542246081794,0.22208402432283028,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6403472338724044,0.2212548369264787,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6564377780191848,0.2300995024875622,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.652240360601024,0.22954671088999448,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6441429205394928,0.22761194029850745,2,FALSE,2024,LV,26,64
13,0.017218543046357615,0.6446371556473515,0.2249861802100608,2,FALSE,2024,LV,26,64
12,0.015894039735099338,0.6557576174621028,0.21241017136539525,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6489322818069837,0.22512437810945274,2,FALSE,2024,LV,26,64
16,0.02119205298013245,0.6535210594041647,0.2202874516307352,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6488334939912562,0.21904367053620785,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6571890715331883,0.22664455500276395,1,TRUE,2024,LV,26,64
13,0.017218543046357615,0.6494265169148422,0.22249861802100607,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6480892574318995,0.22111663902708678,1,TRUE,2024,LV,26,64
13,0.017218543046357615,0.6516275992129518,0.2093698175787728,2,FALSE,2024,LV,26,64
16,0.02119205298013245,0.6457016289781362,0.23120508568269763,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6556625729836172,0.21655610834715314,2,FALSE,2024,LV,26,64
