"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"101046297";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f9f01b93&appId=PPGMS";"b3c25f456af72cf294831ecbf3166687";"en";"";"";"projectDeliverable";"corda";""
"101101967";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f6b2d0ab&appId=PPGMS";"a01a67a75e17793376b8c1e03bf1a157";"en";"";"";"projectDeliverable";"corda";""
"101101967";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f9f6664b&appId=PPGMS";"59292c0acba68d3ad2e6deec6dd2efc5";"en";"";"";"projectDeliverable";"corda";""
"101101967";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fda2bdc1&appId=PPGMS";"4114ef55e8ff6962387462c4a56f916a";"en";"";"";"projectDeliverable";"corda";""
"101101967";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5059218d2&appId=PPGMS";"4e35d8b573c72dd6f53c06e1254d5c02";"en";"";"";"projectDeliverable";"corda";""
"101101967";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f9f6577b&appId=PPGMS";"7572dd0e709b8b378f4bc190b805d3ec";"en";"";"";"projectDeliverable";"corda";""
"101101967";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5fdc9f454&appId=PPGMS";"0157d84d7b8dd52cb4ff96b36b3dc31d";"en";"";"";"projectDeliverable";"corda";""
"101106064";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e507aa0bd7&appId=PPGMS";"8ced338e954f23d43fd5ea7ea4d78a77";"en";"";"";"projectDeliverable";"corda";""
"101105363";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5074a6299&appId=PPGMS";"c70ea44d06fe1dd0e934935f70047c68";"en";"";"";"projectDeliverable";"corda";""
"101046307";"https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5f1e4398a&appId=PPGMS";"51d3cd9aa9ed7113eb77d2ee0e6bf1e5";"en";"";"";"projectDeliverable";"corda";""
