"projectID";"topic";"title"
"101080173";"HORIZON-CL4-2021-DIGITAL-EMERGING-02-16";"Basic Science for Quantum Technologies (RIA)"
"101062339";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101092080";"HORIZON-CL4-2022-RESILIENCE-01-24";"Novel materials for supercapacitor energy storage (RIA)"
"101109359";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101125304";"ERC-2023-COG";"ERC CONSOLIDATOR GRANTS"
"101097053";"ERC-2022-ADG";"ERC ADVANCED GRANTS"
"101041998";"ERC-2021-STG";"ERC STARTING GRANTS"
"101114639";"ERC-2023-STG";"ERC STARTING GRANTS"
"101107099";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101062451";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101069099";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101043451";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
"101066521";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101045152";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
"101106116";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101094527";"HORIZON-CL2-2022-TRANSFORMATIONS-01-08";"Strengthening racial, ethnic and religious equality"
"101063466";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101104439";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101063381";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101110169";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101067686";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101106259";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101062962";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101104734";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101055073";"ERC-2021-ADG";"ERC ADVANCED GRANTS"
"101067123";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101044127";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
"101062645";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101064589";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101103589";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101061497";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101064880";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101042293";"ERC-2021-STG";"ERC STARTING GRANTS"
"101106831";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101045075";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
"101046973";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101080086";"HORIZON-CL4-2021-DIGITAL-EMERGING-02-16";"Basic Science for Quantum Technologies (RIA)"
"101041443";"ERC-2021-STG";"ERC STARTING GRANTS"
"101115674";"ERC-2023-STG";"ERC STARTING GRANTS"
"101063316";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101125590";"ERC-2023-COG";"ERC CONSOLIDATOR GRANTS"
"101088589";"ERC-2022-COG";"ERC CONSOLIDATOR GRANTS"
"101115511";"ERC-2023-STG";"ERC STARTING GRANTS"
"101104845";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101052786";"ERC-2021-ADG";"ERC ADVANCED GRANTS"
"101099230";"HORIZON-EIC-2022-TRANSITIONOPEN-01";"EIC Transition Open 2022"
"101109773";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101061805";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101125822";"ERC-2023-COG";"ERC CONSOLIDATOR GRANTS"
"101126364";"ERC-2023-COG";"ERC CONSOLIDATOR GRANTS"
"101116680";"ERC-2023-STG";"ERC STARTING GRANTS"
"101109293";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101059826";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101109486";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101077265";"ERC-2022-STG";"ERC STARTING GRANTS"
"101114881";"ERC-2023-STG";"ERC STARTING GRANTS"
"101065974";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101076814";"ERC-2022-STG";"ERC STARTING GRANTS"
"101054448";"ERC-2021-ADG";"ERC ADVANCED GRANTS"
"101142020";"ERC-2023-ADG";"ERC ADVANCED GRANTS"
"101045494";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
"101117144";"ERC-2023-STG";"ERC STARTING GRANTS"
"101114899";"HORIZON-EIC-2022-PATHFINDERCHALLENGES-01-06";"EIC Pathfinder Challenge: Alternative approaches to Quantum Information Processing, Communication, and Sensing"
"101063135";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101063234";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101077420";"ERC-2022-STG";"ERC STARTING GRANTS"
"101108476";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101135699";"HORIZON-CL4-2023-DIGITAL-EMERGING-01-41";"Investing in alternative quantum computation and simulation platform technologies (RIA)"
"101081458";"HORIZON-MSCA-2021-COFUND-01-01";"MSCA COFUND 2021"
"101059865";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101068332";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101053159";"ERC-2021-ADG";"ERC ADVANCED GRANTS"
"101119961";"HORIZON-MSCA-2022-DN-01-01";"MSCA Doctoral Networks 2022"
"101039098";"ERC-2021-STG";"ERC STARTING GRANTS"
"101056638";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101116599";"ERC-2023-STG";"ERC STARTING GRANTS"
"101077500";"ERC-2022-STG";"ERC STARTING GRANTS"
"101055097";"ERC-2021-ADG";"ERC ADVANCED GRANTS"
"101063375";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101106868";"HORIZON-MSCA-2022-PF-01-01";"MSCA Postdoctoral Fellowships 2022"
"101043705";"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS"
